Date	Close
20140319	38811.94
20140318	38814.69
20140314	37950.97
20140313	38037.5
20140312	38634.83
20140311	38689.57
20140310	38671.01
20140307	38913.04
20140306	39176.3
20140305	39021.07
20140304	39084.36
20140303	38534.82
20140228	38782.89
20140227	38912.93
20140226	38605.62
20140225	39023.65
20140224	39792.71
20140221	39724.58
20140220	39654.23
20140219	40006.42
20140218	40421.86
20140217	40735.48
20140214	40710.89
20140213	40308.96
20140212	40690.06
20140211	40759.62
20140210	40116.36
20140207	40525.74
20140206	40288.78
20140205	39880.87
20140204	40085.52
20140131	40879.75
20140130	41008.3
20140129	40689.9
20140128	40660.93
20140127	40863.41
20140124	40979.8
20140123	41531.8
20140122	42062.82
20140121	41838.63
20140120	41976.37
20140117	41911.31
20140116	42172.73
20140115	42511.25
20140114	42439.79
20140113	42158.62
20140110	42458.51
20140109	41585.54
20140108	41515.49
20140107	41778.6
20140106	41525.95
20140103	42064.97
20140102	42188.45
20131231	42727.09
20131230	42958.82
20131227	42753.22
20131226	42540.32
20131224	42585.66
20131223	42508.03
20131220	42183.77
20131219	42198.32
20131218	42079.87
20131217	41758.55
20131216	42054.02
20131213	41884.83
20131211	42304.55
20131210	42490.1
20131209	42289.23
20131206	41925.54
20131205	41910.08
20131204	42003.65
20131203	41876.86
20131202	42138.55
20131129	42499.13
20131128	42160.42
20131127	41872.59
20131126	41002.68
20131125	40948.36
20131122	41199.02
20131121	40998.37
20131120	40795.56
20131119	40643.25
20131115	41034.11
20131114	40306.7
20131113	39765.92
20131112	39594.64
20131111	39686.83
20131108	39864.16
20131107	40009.9
20131106	40280.09
20131105	40304.45
20131104	41013.72
20131101	41079.61
20131031	41038.65
20131030	41050.09
20131029	41284.38
20131028	41125.02
20131025	40671.61
20131024	40246.73
20131023	40552.59
20131022	40813.48
20131021	40345.78
20131018	40412.69
20131017	40199.47
20131016	40355.27
20131015	40218.32
20131014	40882.09
20131011	40975.37
20131010	40489.95
20131009	39866.17
20131008	39916.84
20131007	40451.16
20131004	40909.54
20131003	40841.13
20131002	41300.66
20131001	41335.27
20130930	40185.23
20130927	40903.65
20130926	41327.58
20130925	41724.03
20130924	41209.95
20130923	41314.68
20130920	41225.98
20130919	41752.26
20130918	41902.2
20130917	41137.67
20130913	41122.47
20130912	40785.68
20130911	41640.53
20130910	41732.98
20130909	40953.85
20130906	39915.06
20130905	39686.45
20130904	39773.53
20130903	39541.51
20130902	40129.04
20130830	39492.37
20130829	39162.49
20130828	39248.07
20130827	39656
20130826	40419.93
20130823	40925.13
20130822	41007.43
20130821	41458.16
20130820	41825.4
20130819	41484.25
20130816	42049.7
20130815	42155.34
20130814	42430.11
20130813	42366.45
20130812	42124.84
20130809	42648.74
20130808	42712.05
20130807	42246.5
20130806	41914.82
20130805	41918.41
20130802	42051.6
20130801	41863.76
20130731	40837.88
20130730	40236.55
20130729	40341.86
20130726	41064.58
20130725	40752.09
20130724	40839.04
20130723	40790.16
20130722	40117.67
20130719	39891.67
20130718	40245.31
20130717	40240.19
20130716	39659.51
20130715	40322.32
20130712	40329.81
20130711	40479.83
20130710	39999.02
20130709	40221
20130708	40071.64
20130705	40623.09
20130704	41200.4
20130703	40828.85
20130702	40832.48
20130701	41176.8
20130628	40623.3
20130627	39650.75
20130626	38805.27
20130625	37901.77
20130624	37517.36
20130621	38036.46
20130620	37517.23
20130619	39044.95
20130618	39459.98
20130617	39549.46
20130614	39269.3
20130613	39481.47
20130612	39480.35
20130611	39890.24
20130610	40721.35
20130607	40232.68
20130606	40579.08
20130605	40226.33
20130604	40750.4
20130603	41094.82
20130531	41588.32
20130530	40984.5
20130529	40638.97
20130528	40764.04
20130527	40144.65
20130524	40521.27
20130523	40505.27
20130522	40119.02
20130521	40548.44
20130520	41080.43
20130517	41806.73
20130516	41761.11
20130515	41905.23
20130514	41925.14
20130513	41766.91
20130510	41741.54
20130509	41682.64
20130508	42102.14
20130507	42406.67
20130506	42197.99
20130503	42602.07
20130502	42090.01
20130430	42263.48
20130429	41910.53
20130426	41897
20130425	42547.47
20130424	42294.93
20130423	43113.61
20130422	42914.2
20130419	42808.17
20130418	42460.21
20130417	42610.91
20130416	43223.69
20130415	42984.38
20130412	44004.27
20130411	44408.43
20130410	44380.83
20130409	43973.18
20130408	43430.99
20130405	43244.25
20130404	43566.69
20130403	43717.57
20130402	44113.5
20130401	43932.52
20130327	44077.09
20130326	43664.73
20130325	42900.83
20130322	42686.68
20130321	42531.07
20130320	42497.97
20130319	42060.61
20130315	42605.05
20130314	43348.52
20130313	43278.11
20130312	43965.41
20130311	44013.3
20130308	44322.51
20130307	43968.6
20130306	44159.65
20130305	44017.12
20130304	43871.31
20130301	43995.72
20130228	44120.99
20130227	43772.89
20130226	43489.2
20130225	43497.2
20130222	43875.73
20130221	44136.6
20130220	44299.56
20130219	44639.76
20130218	44141.92
20130215	44152.96
20130214	43878.28
20130213	44096.27
20130212	44873.44
20130211	45063.88
20130208	45089.36
20130207	45019.21
20130206	45570.71
20130205	45688.12
20130201	45768.49
20130131	45278.06
20130130	45753.18
20130129	45907.98
20130128	45912.51
20130125	45575.86
20130124	45428.7
20130123	45442.98
20130122	45320.3
20130121	45223.85
20130118	45212.53
20130117	44943.34
20130116	44865.3
20130115	44748.06
20130114	44862.92
20130111	44888.13
20130110	44859.8
20130109	44862.54
20130108	44571.2
20130107	44625.93
20130104	44562.33
20130103	44370.64
20130102	44304.17
20121231	43705.83
20121228	43721.93
20121227	43469.89
20121226	43495.74
20121224	43533.45
20121221	43621.62
20121220	43637.68
20121219	43647.99
20121218	43825.97
